GroupName;Chain_ShortName;RobName1;RobName2
P5PRRRR4G;PRRRR;P5PRRRR4G1P8A1;
P5PRRRR4V1G;PRUR;P5PRRRR4V1G1P8A1;
P5PRRRR6G;PRRRR;P5PRRRR6G10P8A1;
P5PRRRR6V1G;PRUR;P5PRRRR6V1G10P8A1;
P5RPRRR8G;RPRRR;P5RPRRR8G9P8A1;
P5RPRRR8V1G;RPUR;P5RPRRR8V1G9P8A1;
P5RRPRR4G;RRPRR;P5RRPRR4G1P8A1;P5RRPRR4G1P8A1
P5RRPRR5G;RRPRR;P5RRPRR5G9P8A1;
P5RRPRR6G;RRPRR;P5RRPRR6G1P8A1;P5RRPRR6G1P8A1
P5RRPRR7G;RRPRR;P5RRPRR7G9P8A1;
P5RRRRR5G;RRRRR;P5RRRRR5G1P8A1;P5RRRRR5G1P8A1
P5RRRRR5V1G;RRUR;P5RRRRR5V1G1P8A1;P5RRRRR5V1G1P8A1
